,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
<<<<<<< HEAD
accuracy,0.8853878378868103,0.76674884557724,0.7520008087158203,0.7968993782997131,0.9793124198913574,0.9267629384994507,0.8465294241905212,0.7738460898399353,0.8828710913658142,0.9107061624526978,0.9551014304161072,0.8178889751434326,0.8605728149414062,0.9387929439544678,0.9509236216545105,0.966930091381073,0.9374339580535889,0.951326310634613,0.8313283324241638,0.8384758830070496,0.8274022340774536,0.9495142698287964,0.9249005913734436,0.9147329926490784,0.7259777188301086,0.9569134712219238,0.7175718545913696,0.9279710054397583,0.9316454529762268,0.9467458724975586,0.8799013495445251,0.8069159984588623,0.832284688949585,0.8115971088409424,0.9587255120277405,0.8276035785675049,0.879397988319397,0.9317964315414429,0.8035938739776611
equality_gap_0,0.0349959135055542,0.07932692766189575,0.23421400785446167,0.007372796535491943,0.0,0.0003718733787536621,0.00295180082321167,0.07755166292190552,0.010746777057647705,0.014479279518127441,0.0029296278953552246,0.011647343635559082,0.007218480110168457,0.0,0.0,0.0004616975784301758,0.02073204517364502,0.0,0.20034539699554443,0.07204568386077881,0.034912049770355225,0.0002682805061340332,0.0,0.5541654825210571,0.006922721862792969,0.0,0.01960933208465576,0.00026428699493408203,0.0,0.009307563304901123,0.06386512517929077,0.005859434604644775,0.07827121019363403,0.0007957220077514648,0.00019276142120361328,0.25577712059020996,0.0,0.0011404156684875488,0.1589910387992859
equality_gap_1,0.12035851180553436,0.20584703981876373,0.22791016101837158,0.039189741015434265,0.0,0.042750775814056396,0.009725905954837799,0.18904922902584076,0.1723673939704895,0.36586064100265503,0.06864769011735916,0.025375545024871826,0.04766187071800232,0.0,0.0,0.11641755700111389,0.25,0.0,0.5492838621139526,0.036628782749176025,0.001296401023864746,0.0019940179772675037,0.0,0.020461082458496094,0.04975370690226555,0.0,0.04625590518116951,0.0,0.0,0.27432334423065186,0.01004171371459961,0.021425388753414154,0.23561787605285645,0.015213257633149624,0.08133295923471451,0.23896974325180054,0.0,0.0665280669927597,0.00805121660232544
parity_gap,0.05864270403981209,0.13782858848571777,0.3817387819290161,0.019039327278733253,0.0,0.06947886943817139,0.0042948550544679165,0.13551975786685944,0.048417672514915466,0.13976268470287323,0.0070818341337144375,0.04437267780303955,0.017852921038866043,0.0,0.0,0.06555356830358505,0.060416173189878464,0.0,0.5407000184059143,0.13357174396514893,0.036864519119262695,0.0004729250504169613,0.0,0.2420581579208374,0.02156168594956398,0.0,0.029613453894853592,0.00023646252520848066,0.0,0.05213998630642891,0.07124960422515869,0.010085999965667725,0.2645750343799591,0.005373144056648016,0.010993579402565956,0.6201431155204773,0.0,0.012296050786972046,0.10025358200073242
=======
accuracy,0.8824684023857117,0.7684099078178406,0.7746011018753052,0.8024361729621887,0.9793124198913574,0.9220818281173706,0.8470327854156494,0.7895504832267761,0.8903709650039673,0.8792973160743713,0.9531383514404297,0.8137111663818359,0.8629385232925415,0.9390949606895447,0.9522826671600342,0.9730709195137024,0.9281219840049744,0.9642120003700256,0.7723360061645508,0.8409925699234009,0.859918475151062,0.9495142698287964,0.9249005913734436,0.8708913922309875,0.7338802814483643,0.9569134712219238,0.7247194051742554,0.9286253452301025,0.9319474697113037,0.9357728958129883,0.9009915590286255,0.800926148891449,0.7922685742378235,0.8120501041412354,0.9812251329421997,0.7734937071800232,0.879397988319397,0.9308400750160217,0.8369154930114746
equality_gap_0,0.0026165246963500977,0.06787461042404175,0.32679691910743713,0.019999265670776367,0.0,0.010610401630401611,0.0006605386734008789,0.07043302059173584,0.010235905647277832,0.001548469066619873,0.003445923328399658,0.08689850568771362,0.0071370601654052734,0.0009454488754272461,0.0013154149055480957,0.0017856955528259277,0.0014297962188720703,0.01921522617340088,0.05331987142562866,0.08749920129776001,0.0012021064758300781,0.0,0.0,0.20981422066688538,0.060550153255462646,0.0,0.03865724802017212,0.02036839723587036,0.0,0.0023974180221557617,0.022462844848632812,0.04931527376174927,0.0763365626335144,0.0013036727905273438,0.0023366808891296387,0.10766273736953735,0.0,0.007303833961486816,0.3944985866546631
equality_gap_1,0.011096884496510029,0.1794201135635376,0.19653522968292236,0.04881514608860016,0.0,0.10629779100418091,0.005761824548244476,0.23824068903923035,0.07123172283172607,0.12193061411380768,0.04924725741147995,0.2554934322834015,0.05847546458244324,0.012333965860307217,0.04322429746389389,0.03514188528060913,0.031420763581991196,0.31223395466804504,0.3190820515155792,0.022000789642333984,0.039560675621032715,0.0,0.0,0.0019046664237976074,0.21940386295318604,0.0,0.10370682179927826,0.19269105792045593,0.004518072120845318,0.07900512218475342,0.008759677410125732,0.23326173424720764,0.16499054431915283,0.01820157654583454,0.13870537281036377,0.11947780847549438,0.0,0.0956340953707695,0.052063167095184326
parity_gap,0.004965712781995535,0.13577723503112793,0.4272751808166504,0.046108976006507874,0.0,0.04657161235809326,0.0005360149079933763,0.16187134385108948,0.0913984477519989,0.06319933384656906,0.006137911230325699,0.1645204722881317,0.026098765432834625,0.002364625222980976,0.005556869320571423,0.07440478354692459,0.006620950531214476,0.05821071192622185,0.3683279752731323,0.11975187063217163,0.08029487729072571,0.0,0.0,0.11873090267181396,0.11600853502750397,0.0,0.06493018567562103,0.03870038688182831,0.0005259006284177303,0.014778907410800457,0.09798431396484375,0.07521102577447891,0.049856171011924744,0.006718476302921772,0.04320400580763817,0.47071918845176697,0.0,0.022209174931049347,0.22215408086776733
